Wavelength,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBT1,SBT2,SBT3,SBT4,SBT5,SBT6,SBT7,SBT8
466,6.1406,4.8914,4.6442,4.8408,4.0588,8.563,4.3264,4.6072,5.5992,6.6116,4.8612,5.439,6.3042,7.9748,6.6924,5.3156
467,6.12275,4.8445,4.63,4.63525,3.79325,8.471,4.1515,4.5875,5.4775,6.39175,4.73125,5.3465,6.2305,7.68225,6.81,5.20925
468,5.962125,4.55325,4.6375,4.518375,3.661375,8.466,3.80025,4.35125,5.37625,6.206125,4.574375,5.19525,6.33925,7.377875,6.555,5.132375
469,5.863333333,4.271533333,4.382466667,4.447,3.672333333,8.4298,3.738533333,4.621333333,5.332,6.282066667,4.491266667,5.111133333,6.2618,7.322866667,6.328533333,5.1106
470,5.8174,4.1042,4.1624,4.3674,3.7048,8.2886,3.7522,4.7846,5.305,6.315,4.4442,5.0192,6.1208,7.3218,6.1574,5.03
471,5.858733333,4.1982,4.177066667,4.242066667,3.704133333,7.9206,3.772866667,4.403266667,5.285,6.095,4.4382,4.869866667,5.940133333,7.301133333,6.098733333,4.78
472,5.814733333,4.248466667,4.158666667,4.302333333,3.6832,7.8422,3.699133333,4.2454,5.161,6.099533333,4.4594,4.918933333,5.922133333,7.115133333,6.061933333,4.831333333
473,5.7868,4.2512,4.1488,4.3964,3.6466,7.8282,3.5872,4.2276,5.107,6.1108,4.4908,4.9882,5.9156,6.9616,6.0422,4.9208
474,5.846133333,4.168533333,4.178133333,4.461066667,3.585266667,7.795533333,3.4412,4.406266667,5.277,6.0068,4.530133333,4.988866667,5.840933333,6.980266667,6.049533333,4.923466667
475,5.671866667,4.088,4.234133333,4.402533333,3.604466667,7.754866667,3.398133333,4.420133333,5.203266667,6.027066667,4.399333333,4.9218,5.739066667,6.9856,6.0574,4.7928
476,5.565,4.0254,4.27,4.3434,3.6338,7.684,3.3892,4.3564,5.1078,6.062,4.264,4.8214,5.6764,6.9982,6.074,4.7152
